semester,year,course_code,course_name,instructor,enrollment,responses,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,N/A_Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,N/A_Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,N/A_Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,N/A_Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,N/A_Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,N/A_Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,N/A_Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,N/A_Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,N/A_Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,N/A_Q10,section_mean_Q1,section_mean_Q2,section_mean_Q3,section_mean_Q4,section_mean_Q5,section_mean_Q6,section_mean_Q7,section_mean_Q8,section_mean_Q9,section_mean_Q10
Fall,2014,14:125:403:01,Cardiovasc Eng,Li,61,30,0,1,2,3,24,0,0,0,0,6,24,0,0,0,2,7,21,0,0,0,0,2,28,0,0,0,1,7,22,0,0,2,1,9,18,0,0,0,5,7,18,0,0,1,1,7,21,0,0,0,2,12,15,1,0,1,1,12,16,0,4.7,4.8,4.6,4.9,4.7,4.4,4.4,4.6,4.5,4.4
Fall,2014,14:125:404:01,Intro Biomaterials,Scott,96,48,9,3,18,9,9,0,10,7,12,14,4,1,21,9,9,7,2,0,9,5,11,16,7,0,7,5,13,15,8,0,20,9,10,7,2,0,14,7,21,4,2,0,4,8,6,20,10,0,18,14,9,4,2,1,18,12,11,4,2,1,3.1,2.9,2.2,3.2,3.3,2.2,2.4,3.5,2.1,2.2
Fall,2014,14:125:409:01,Intro To Prosthetics,Craelius,22,10,1,1,4,3,1,0,1,3,2,3,1,0,1,2,2,2,3,0,0,3,1,4,2,0,0,3,4,2,1,0,1,2,2,5,0,0,1,1,3,4,1,0,0,0,2,2,6,0,2,3,2,2,1,0,2,2,2,3,1,0,3.2,3,3.4,3.5,3.1,3.1,3.3,4.4,2.7,2.9
Fall,2014,14:125:411:01,Bioelectric Systems,Li,16,8,0,0,0,3,5,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,0,8,0,0,0,0,3,4,1,0,0,1,3,4,0,0,0,1,3,4,0,0,0,1,0,7,0,0,0,1,2,5,0,0,0,1,2,5,0,4.6,4.9,4.9,5,4.6,4.4,4.4,4.8,4.5,4.5
Fall,2014,14:125:417:01,Musculoskeletal Mech,Langrana,48,27,0,3,1,8,15,0,0,2,3,6,16,0,0,1,5,7,14,0,1,1,2,7,16,0,0,1,3,11,12,0,0,1,6,7,13,0,0,1,7,9,10,0,0,3,4,10,10,0,0,3,3,8,13,0,0,4,1,11,11,0,4.3,4.3,4.3,4.3,4.3,4.2,4,4,4.2,4.1
Fall,2014,14:125:433:01,Fund Of Tissue Engg,Cai,67,33,0,6,4,9,14,0,1,2,8,11,11,0,3,3,8,4,15,0,0,3,3,7,20,0,1,3,9,5,15,0,4,2,7,7,13,0,1,3,10,8,11,0,1,1,4,9,18,0,3,4,6,8,12,0,2,4,7,9,11,0,3.9,3.9,3.8,4.3,3.9,3.7,3.8,4.3,3.7,3.7
Fall,2014,14:125:445:01,Prin Drug Delivery,Sofou,39,21,1,0,1,9,10,0,0,1,4,6,10,0,0,1,3,8,9,0,0,1,6,4,10,0,0,2,4,3,12,0,0,1,5,5,10,0,1,0,3,10,7,0,1,2,4,6,8,0,0,0,3,8,10,0,0,0,4,8,9,0,4.3,4.2,4.2,4.1,4.2,4.1,4.1,3.9,4.3,4.2
Fall,2014,14:125:465:01,Bme Microfluidics,Zahn,15,8,0,0,0,4,4,0,0,0,1,3,4,0,2,0,2,0,4,0,0,0,2,2,4,0,0,0,1,3,4,0,0,1,2,1,4,0,0,0,2,3,3,0,0,1,4,2,1,0,0,0,2,2,4,0,0,0,2,3,3,0,4.5,4.4,3.5,4.3,4.4,4,4.1,3.4,4.3,4.1
Fall,2014,14:155:201:01,Chem Engr Anal I,Buettner,98,65,1,3,4,22,35,0,1,5,6,24,29,0,0,5,7,23,30,0,1,1,3,20,40,0,0,2,12,15,36,0,2,2,11,21,28,1,1,2,9,20,33,0,0,6,13,16,30,0,3,2,4,28,28,0,2,3,7,29,24,0,4.3,4.2,4.2,4.5,4.3,4.1,4.3,4.1,4.2,4.1
Fall,2014,14:155:303:01,Trans Phen Chem E I,Tomassone,111,46,2,5,6,12,21,0,6,6,6,12,16,0,4,5,4,12,21,0,6,5,6,12,17,0,4,1,2,15,23,1,5,3,5,19,14,0,2,3,4,14,22,1,3,5,10,13,14,1,5,5,6,15,15,0,3,1,9,17,14,2,4,3.6,3.9,3.6,4.2,3.7,4.1,3.7,3.7,3.9
Fall,2014,14:155:307:01,Chem Engg Anal II,Androulakis,118,55,3,4,15,11,22,0,5,7,9,12,22,0,3,8,16,13,15,0,5,4,12,12,22,0,2,2,9,12,30,0,6,6,18,13,12,0,6,7,15,16,11,0,5,7,15,11,15,2,7,7,20,11,10,0,7,7,17,14,10,0,3.8,3.7,3.5,3.8,4.2,3.4,3.4,3.5,3.2,3.2
Fall,2014,14:155:309:01,Chem Eng Thermo II,Dutt M.,105,95,1,0,3,24,67,0,2,2,7,21,63,0,2,0,12,25,55,1,2,1,5,12,75,0,2,2,7,21,62,1,2,1,13,23,56,0,2,0,12,28,52,1,6,13,22,20,34,0,2,1,12,25,55,0,1,3,12,29,50,0,4.6,4.5,4.4,4.7,4.5,4.4,4.4,3.7,4.4,4.3
Fall,2014,14:155:407:01,Proc & Props Matls,Scheinbeim,77,22,0,4,6,4,8,0,0,1,4,3,14,0,0,3,7,1,11,0,0,1,1,7,13,0,3,7,5,3,4,0,0,3,7,7,5,0,0,2,4,5,11,0,0,2,7,6,6,1,1,4,6,4,7,0,1,3,7,6,5,0,3.7,4.4,3.9,4.5,2.9,3.6,4.1,3.8,3.6,3.5
Fall,2014,14:155:411:01,Intr Biochem Eng,Roth,105,39,1,3,7,15,13,0,1,4,10,15,9,0,7,5,8,7,12,0,1,1,4,16,17,0,1,3,9,19,7,0,3,7,11,13,5,0,1,7,7,15,9,0,3,7,6,11,12,0,1,6,12,14,6,0,2,3,13,15,6,0,3.9,3.7,3.3,4.2,3.7,3.3,3.6,3.6,3.5,3.5
Fall,2014,14:155:415:01,Process Engrg I,Scheinbeim,97,37,2,4,8,12,10,1,2,4,8,10,12,1,4,3,11,10,8,1,1,4,9,10,12,1,1,3,9,11,12,1,2,2,12,10,10,1,3,3,6,13,11,1,0,2,7,12,15,1,4,4,7,13,8,1,2,4,12,11,7,1,3.7,3.7,3.4,3.8,3.8,3.7,3.7,4.1,3.5,3.5
Fall,2014,14:155:427:01,Chem&Biochem Des&Ecn,Ramachandran,98,39,7,6,10,7,9,0,2,4,11,10,12,0,8,7,11,3,10,0,1,2,9,12,15,0,0,3,6,8,21,1,10,3,11,4,11,0,12,5,11,3,8,0,2,6,13,8,10,0,9,9,6,6,9,0,7,8,9,5,10,0,3.1,3.7,3,4,4.2,3.1,2.7,3.5,2.9,3.1
Fall,2014,14:155:441:01,Chem Engg Kinetics,Celik F.,94,60,1,0,2,7,50,0,1,0,3,5,50,1,0,1,6,9,44,0,0,2,2,7,49,0,0,2,9,15,34,0,0,1,6,11,42,0,0,1,3,12,44,0,1,2,12,17,28,0,0,0,5,10,45,0,0,0,7,14,38,1,4.8,4.8,4.6,4.7,4.4,4.6,4.7,4.2,4.7,4.5
Fall,2014,14:180:243:01,Mechanics Of Solids,Nassif,52,22,0,2,5,6,9,0,0,2,3,7,10,0,1,3,4,5,9,0,0,0,4,6,12,0,1,0,5,6,10,0,0,2,7,7,6,0,0,0,8,6,8,0,3,4,5,3,7,0,0,4,10,2,6,0,0,3,10,4,5,0,4,4.1,3.8,4.4,4.1,3.8,4,3.3,3.5,3.5
Fall,2014,14:180:305:01,Construction Engg,Williams,92,42,5,8,10,9,10,0,4,4,8,12,14,0,3,4,6,10,19,0,6,6,9,10,11,0,6,6,6,9,15,0,7,4,9,11,11,0,2,3,9,13,15,0,1,3,6,13,19,0,7,5,10,11,9,0,4,8,9,10,11,0,3.3,3.7,3.9,3.3,3.5,3.4,3.9,4.1,3.2,3.4
Fall,2014,14:180:318:01,Elemts Of Structures,Najm,82,39,0,1,0,8,30,0,0,0,0,2,37,0,0,0,0,5,34,0,0,0,0,3,36,0,0,0,1,6,32,0,0,0,1,7,30,1,0,0,0,10,29,0,0,0,3,7,29,0,0,0,1,5,33,0,0,0,1,6,32,0,4.7,5,4.9,4.9,4.8,4.8,4.7,4.7,4.8,4.8
Fall,2014,14:180:331:01,Elemts Environm Engg,Mazurek,11,9,0,0,2,5,2,0,0,0,0,3,6,0,0,0,1,4,4,0,0,0,0,3,6,0,0,0,0,3,5,1,0,0,2,4,3,0,0,0,3,4,2,0,0,0,2,2,5,0,0,0,0,8,1,0,0,0,1,7,1,0,4,4.7,4.3,4.7,4.6,4.1,3.9,4.3,4.1,4
Fall,2014,14:180:387:01,Fluid Mechanics,Fahrenfeld,97,59,0,3,3,10,43,0,1,3,10,10,35,0,1,3,12,11,29,3,1,0,9,13,36,0,2,4,8,16,29,0,1,2,14,12,30,0,2,1,10,14,31,1,4,7,20,12,16,0,0,5,10,18,26,0,0,1,12,20,26,0,4.6,4.3,4.1,4.4,4.1,4.2,4.2,3.5,4.1,4.2
Fall,2014,14:180:411:01,Reinforced Concrete,Balaguru P,101,38,0,1,2,3,29,3,0,2,2,2,29,3,0,1,3,5,26,3,0,3,3,4,25,3,3,4,4,3,21,3,0,1,5,5,24,3,0,1,4,3,27,3,0,1,5,10,19,3,0,1,5,7,23,2,0,1,5,6,24,2,4.7,4.7,4.6,4.5,4,4.5,4.6,4.3,4.4,4.5
Fall,2014,14:180:413:01,Theory Indeter Struc,Yong,26,10,0,0,5,2,3,0,1,1,3,3,2,0,0,1,4,1,4,0,0,0,3,3,4,0,2,1,2,1,4,0,0,2,3,2,3,0,0,0,2,3,5,0,0,0,1,0,9,0,0,1,5,2,2,0,0,0,5,3,2,0,3.8,3.4,3.8,4.1,3.4,3.6,4.3,4.8,3.5,3.7
Fall,2014,14:180:429:01,Water&Wastewtr Engg,Medlar,115,45,0,0,0,3,42,0,0,0,0,4,41,0,0,1,1,5,38,0,0,0,0,7,38,0,0,1,1,4,39,0,0,1,2,4,38,0,0,0,3,8,34,0,1,2,7,9,26,0,0,0,2,8,35,0,0,0,1,7,37,0,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.3,4.7,4.8
Fall,2014,14:180:430:01,Intro Trans Planning,Jin J.,110,50,11,5,12,14,8,0,8,8,11,12,11,0,15,12,7,5,10,1,5,4,11,11,19,0,8,2,9,11,20,0,13,11,13,4,9,0,10,12,12,9,7,0,15,11,10,3,11,0,15,8,11,10,6,0,10,14,11,10,5,0,3.1,3.2,2.7,3.7,3.7,2.7,2.8,2.7,2.7,2.7
Fall,2014,14:180:473:01,Foundation Engg,Maher,108,41,0,0,4,13,24,0,0,0,4,10,27,0,0,1,8,12,20,0,0,0,5,14,22,0,0,0,4,10,27,0,0,0,8,11,22,0,0,0,6,13,22,0,1,2,10,12,15,1,0,0,7,13,21,0,1,0,8,12,20,0,4.5,4.6,4.2,4.4,4.6,4.3,4.4,4,4.3,4.2
Fall,2014,14:332:221:01,Prin Elec Engg I,Godrich H,200,88,1,2,3,22,59,1,1,2,6,16,62,1,1,3,7,18,58,1,1,0,5,18,63,1,1,1,6,23,55,2,1,4,6,25,51,1,1,2,5,20,59,1,1,3,14,30,39,1,2,1,8,24,52,1,2,1,10,34,40,1,4.6,4.6,4.5,4.6,4.5,4.4,4.5,4.2,4.4,4.3
Fall,2014,14:332:231:00,N/A,DANA KRISTEN,220,124,33,43,28,14,6,0,37,42,25,10,8,2,36,28,34,17,8,1,36,25,33,18,8,4,25,27,38,24,7,3,38,36,31,15,3,1,29,20,43,18,12,2,11,11,34,40,28,0,51,42,18,7,5,1,19,40,43,18,4,0,2.3,2.3,2.5,2.5,2.7,2.3,2.7,3.5,2,2.6
Fall,2014,14:332:233:02,Digitl Logic Des Lab,Lodhi M,43,22,4,6,7,3,1,1,6,4,3,7,0,2,6,8,5,0,0,3,6,7,7,0,1,1,5,6,5,3,2,1,6,4,8,2,0,2,4,3,3,6,5,1,4,1,7,5,3,2,7,4,7,3,0,1,5,4,8,4,0,1,2.6,2.6,2,2.2,2.6,2.3,3.2,3.1,2.3,2.5
Fall,2014,14:332:233:05,Digitl Logic Des Lab,Lodhi M,44,13,0,3,5,4,1,0,0,4,5,2,2,0,0,2,6,3,2,0,0,3,5,4,1,0,0,1,9,1,2,0,0,2,7,2,2,0,1,1,6,2,3,0,0,2,5,4,2,0,1,2,8,1,1,0,0,3,7,2,1,0,3.2,3.2,3.4,3.2,3.3,3.3,3.4,3.5,2.9,3.1
Fall,2014,14:332:301:01,Wireless Revolution,Mandayam/Frenkiel,53,24,0,1,1,5,17,0,0,1,1,4,18,0,1,1,2,5,15,0,0,2,2,4,16,0,1,1,3,8,10,1,0,3,1,6,14,0,0,2,2,6,14,0,0,3,11,4,6,0,0,1,3,8,12,0,0,2,3,8,10,1,4.6,4.6,4.3,4.4,4.1,4.3,4.3,3.5,4.3,4.1
Fall,2014,14:332:331:01,Comp Arch & Asm Lang,Burdea G.,143,53,0,1,9,20,22,1,3,3,11,17,19,0,3,5,17,11,17,0,2,8,14,12,15,2,0,3,17,17,15,1,4,7,16,16,9,1,0,6,13,16,17,1,3,6,11,17,14,2,3,5,20,15,9,1,2,6,21,14,8,2,4.2,3.9,3.6,3.6,3.9,3.4,3.9,3.7,3.4,3.4
